source,description,url,content
{'name': 'The Indian Express'},"In 2016, plots were allotted to 27 families in whose cases the technical hurdles were removed, but the other 182 families still kept waiting.",https://indianexpress.com/article/cities/chandigarh/three-decade-long-wait-of-182-kashmiri-pandits-for-land-ends-get-plots-in-jhajjar-7858704/,"A three three-decade-long wait of a group of Kashmiri Pandit families, who between 1991 and 1992 purchased land in Haryana’s Jhajjar, finally ended Thursday with Chief Minister Manohar Lal Khattar an… [+3496 chars]"
{'name': 'The Indian Express'},"Chennai, Tamil Nadu News Live Updates- Chennai Petrol, Diesel, LPG Price Hike Updates:",https://indianexpress.com/article/cities/chennai/chennai-news-live-stalin-madras-hc-sri-lanka-petrol-price-dmk-aiadmk-updates-7859081/,"Chennai: AIADMK leaders Edappadi K. Palaniswami and O. Panneerselvam with party MLAs stage a walkout during the Tamil Nadu Assembly Session, at the secretariat, in Chennai, Wednesday, April 6, 2022. … [+1441 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-11-april-rates-latest-check-latest-fuel-price-7863407/,"Petrol Diesel Price Today: Petrol and diesel prices remained steady for the fifth consecutive day across the country on Monday, April 11, 2022.The price of petrol in Delhi stands at Rs 105.41 per lit… [+2161 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-13-april-rates-latest-check-latest-fuel-price-7867214/,"Petrol Diesel Price Today: Petrol and diesel prices remained steady for the seventh consecutive day across the country on Wednesday, April 13, 2022.The price of petrol in Delhi stands at Rs 105.41 pe… [+2073 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-15-april-rates-latest-check-latest-fuel-price-7870208/,"Petrol Diesel Price Today: Petrol and diesel prices remained steady for the ninth consecutive day across the country on Friday, April 15, 2022.The price of petrol in Delhi stands at Rs 105.41 per lit… [+1881 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-12-april-rates-latest-check-latest-fuel-price-7865463/,"Petrol Diesel Price Today: Prices of petrol and diesel remained unchanged for the sixth successive day across the country on Tuesday, April 12, 2022.The price of petrol in Delhi stands at Rs 105.41 p… [+2167 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-8-april-rates-latest-check-latest-fuel-price-7859479/,"Petrol Diesel Price Today: Prices of petrol and diesel remained unchanged for the second consecutive day across the country on Friday, April 8, 2022.The price of petrol in Delhi stands at Rs 105.41 p… [+2241 chars]"
{'name': 'The Indian Express'},"Petrol Diesel Price Hike Today Latest News: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Click here to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-price-today-14-april-rates-latest-check-latest-fuel-price-7868779/,"Petrol Diesel Price Today: Prices of petrol and diesel remained unchanged for the eighth successive day across the country on Thursday, April 14, 2022.The price of petrol in Delhi stands at Rs 105.41… [+2066 chars]"
{'name': 'The Indian Express'},"Petrol and diesel prices: Petrol price in Delhi stands at Rs 105.41 per litre while diesel is available for Rs 96.67. In Mumbai, petrol is retailing at Rs 120.51, while diesel costs Rs 104.77. Read below to find out fuel prices in your city.",https://indianexpress.com/article/business/commodities/petrol-diesel-prices-hiked-by-80-paise-total-increase-now-stands-at-rs-10-7854830/,"Petrol and diesel price today: Petrol and diesel prices were hiked yet again across the country for the fifth successive day on Wednesday, April 6, 2022. In the national capital, both petrol and dies… [+2563 chars]"
{'name': 'The Indian Express'},"Speaking in Lok Sabha during Zero Hour, Ray said, “Petrol and diesel rates in the country have sharply increased after the latest round of fuel price hikes by oil marketing companies.""",https://indianexpress.com/article/india/prices-of-fuel-medicine-among-issues-raised-in-lok-sabha-7856827/,"Raising the issue of fuel price hikes, Trinamool Congress MP Sougata Ray on Wednesday urged the government to take immediate steps to check the daily increase in prices of petroleum products.Speaking… [+3114 chars]"
